cliente,interesses
cliente90,"'Documentários sobre sustentabilidade, Podcasts sobre meio ambiente, Livros sobre ecologia'"
cliente91,"'Música e sustentabilidade, Teatro e meio ambiente, Dança e natureza'"
cliente92,"'Yoga ao ar livre, Meditação na natureza, Ecoterapia'"
cliente93,"'Turismo rural, Observação de aves, Trilhas ecológicas'"
cliente94,"'Mergulho ecológico, Escalada sustentável, Esportes de aventura ecológicos'"
cliente95,"'Fotografia de natureza, Arte com elementos naturais, Land Art'"
cliente96,"'Astrofotografia, Observação de estrelas, Astronomia amadora'"
cliente97,"'Culinária vegana, Cursos de alimentação saudável, Receitas vegetarianas'"
cliente98,"'Produção de cerveja artesanal, Cultivo de cogumelos, Panificação natural'"
cliente99,"'Apicultura urbana, Jardinagem em casa, Criação de animais de pequeno porte'"
